PLN	43
PLEC	43
PLCL2	43
NASH	43
MUC7	43
MECP2	43
INSR	43
HDAC6	43
GIT1	43
FAM13A	43
COL11A1	43
CD47	43
ZEB2	42
PTGIS	42
PRC1	42
PCSK5	42
NRXN1	42
NPR3	42
NOS1AP	42
MYL2	42
MYC	42
MYBPC3	42
MTCH2	42
MED23	42
GPR35	42
GLIS3	42
FOXP2	42
FER	42
DMPK	42
DAB1	42
COL4A1	42
CCNT1	42
BACE2	42
ASGR1	42
AMD	42
ADARB2	42
ZNF182	41
TXK	41
SYT5	41
SOX5	41
SLC2A4	41
SLC11A2	41
SERPINB6	41
PRKCB	41
PPA2	41
PON1	41
PIGL	41
MMP9	41
LRP1	41
ING3	41
IL12A	41
IGF1R	41
ICAM1	41
HIF1A	41
GNG5	41
FOXP3	41
FLG	41
ETS1	41
EARS2	41
CTTNBP2NL	41
CTDSP1	41
CNTN1	41
CDKL5	41
ANK1	41
AFG3L2	41
ABCB11	41
ZPR1	40
ZFHX3	40
WNT1	40
TLR10	40
TGFB2	40
SORT1	40
SLC22A4	40
PRKG1	40
PLG	40
PITX2	40
PDE10A	40
MYO18B	40
MMP7	40
LINGO2	40
KNG1	40
JMJD1C	40
HELQ	40
GRIN2A	40
ELAVL3	40
DPYD	40
CRMP1	40
CHD	40
CBS	40
CASQ1	40
BUB1B	40
ADCYAP1	40
VWF	39
UQCRB	39
UBA3	39
TSLP	39
TRPV2	39
TREM2	39
THRA	39
TGFBR2	39
SREBF1	39
SLCO1B1	39
RUNX3	39
PLA2G6	39
PHF10	39
PARK7	39
MYOZ2	39
LRP2	39
KSR2	39
GLP1R	39
FZD3	39
FRS2	39
FBN1	39
F2	39
F11	39
DGKB	39
CYP2D6	39
CXCL12	39
CCNC	39
BPGM	39
AURKB	39
ATXN2	39
APP	39
ADAMTS10	39
TMEM173	38
TGFB1	38
SLC6A17	38
SARS	38
RREB1	38
PVT1	38
PNPLA1	38
OPRD1	38
NFE2L2	38
MTTP	38
MSRA	38
MERTK	38
MAD1L1	38
LPAR1	38
KCND3	38
IQ	38
GPR39	38
