URI,COUNT(*)
http://www.ebi.ac.uk/efo/EFO_0005002,1
http://www.ebi.ac.uk/efo/EFO_0004760,1
http://www.ebi.ac.uk/efo/EFO_0004771,1
http://www.ebi.ac.uk/efo/EFO_0004776,1
http://www.ebi.ac.uk/efo/EFO_0002628,1
http://www.ebi.ac.uk/efo/EFO_0003757,1
http://www.ebi.ac.uk/efo/EFO_0003762,1
http://www.ebi.ac.uk/efo/EFO_0003781,1
http://www.ebi.ac.uk/efo/EFO_0003914,1
http://purl.obolibrary.org/obo/HP_0009907,1
http://www.ebi.ac.uk/efo/EFO_0004227,1
http://www.ebi.ac.uk/efo/EFO_0004247,1
http://www.ebi.ac.uk/efo/EFO_0001357,1
http://www.ebi.ac.uk/efo/EFO_0004263,1
http://www.ebi.ac.uk/efo/EFO_0005036,1
http://www.ebi.ac.uk/efo/EFO_0004841,1
http://www.ebi.ac.uk/efo/EFO_0004846,1
http://www.ebi.ac.uk/efo/EFO_0004862,1
http://www.ebi.ac.uk/efo/EFO_0004867,1
http://www.ebi.ac.uk/efo/EFO_0004868,1
http://www.ebi.ac.uk/efo/EFO_0001669,1
http://www.ebi.ac.uk/efo/EFO_0004695,1
http://www.ebi.ac.uk/efo/EFO_0004895,1
http://purl.obolibrary.org/obo/GO_0051384,1
http://www.ebi.ac.uk/efo/EFO_0000174,1
http://www.ebi.ac.uk/efo/EFO_0000668,1
http://www.ebi.ac.uk/efo/EFO_0000713,1
http://www.ebi.ac.uk/efo/EFO_0007804,1
http://www.ebi.ac.uk/efo/EFO_0000196,1
http://purl.obolibrary.org/obo/GO_1990054,1
http://www.ebi.ac.uk/efo/EFO_0004802,1
http://www.ebi.ac.uk/efo/EFO_0004314,1
http://www.ebi.ac.uk/efo/EFO_0004323,1
http://www.ebi.ac.uk/efo/EFO_0004348,1
http://www.ebi.ac.uk/efo/EFO_0004351,1
http://www.ebi.ac.uk/efo/EFO_0004354,1
http://www.ebi.ac.uk/efo/EFO_0004463,1
http://www.ebi.ac.uk/efo/EFO_0004572,1
http://www.ebi.ac.uk/efo/EFO_0004606,1
http://www.ebi.ac.uk/efo/EFO_0004624,1
http://www.ebi.ac.uk/efo/EFO_0004626,1
http://www.ebi.ac.uk/efo/EFO_0004640,1
http://www.ebi.ac.uk/efo/EFO_0004910,1
http://www.ebi.ac.uk/efo/EFO_0004763,1
http://www.ebi.ac.uk/efo/EFO_0004770,1
http://www.ebi.ac.uk/efo/EFO_0004777,1
http://www.ebi.ac.uk/efo/EFO_0003784,1
http://www.ebi.ac.uk/efo/EFO_0004213,1
http://www.ebi.ac.uk/efo/EFO_0004243,1
http://www.orpha.net/ORDO/Orphanet_2495,1
http://www.ebi.ac.uk/efo/EFO_0004845,1
http://purl.obolibrary.org/obo/GO_1901554,1
http://www.ebi.ac.uk/efo/EFO_0004857,1
http://www.ebi.ac.uk/efo/EFO_0004875,1
http://purl.obolibrary.org/obo/GO_0097366,1
http://www.ebi.ac.uk/efo/EFO_0004880,1
http://www.ebi.ac.uk/efo/EFO_0004248,1
http://www.ebi.ac.uk/efo/EFO_0004255,1
http://www.orpha.net/ORDO/Orphanet_1572,1
http://www.ebi.ac.uk/efo/EFO_0004628,1
http://www.ebi.ac.uk/efo/EFO_0004888,1
http://www.ebi.ac.uk/efo/EFO_0000464,1
http://www.ebi.ac.uk/efo/EFO_0004985,1
http://www.ebi.ac.uk/efo/EFO_0004320,1
http://www.ebi.ac.uk/efo/EFO_0004804,1
http://www.ebi.ac.uk/efo/EFO_0004460,1
http://www.ebi.ac.uk/efo/EFO_0004504,1
http://www.ebi.ac.uk/efo/EFO_0004508,1
http://www.ebi.ac.uk/efo/EFO_0004516,1
http://www.ebi.ac.uk/efo/EFO_0004587,1
http://www.ebi.ac.uk/efo/EFO_0004596,1
http://www.ebi.ac.uk/efo/EFO_0004632,1
http://www.ebi.ac.uk/efo/EFO_0004642,1
http://www.ebi.ac.uk/efo/EFO_0004670,1
http://www.ebi.ac.uk/efo/EFO_0001358,1
http://www.ebi.ac.uk/efo/EFO_0004741,1
http://www.ebi.ac.uk/efo/EFO_0004718,1
http://www.ebi.ac.uk/efo/EFO_0004999,1
http://www.ebi.ac.uk/efo/EFO_0005000,1
http://www.ebi.ac.uk/efo/EFO_0004762,1
http://www.ebi.ac.uk/efo/EFO_0004785,1
http://www.ebi.ac.uk/efo/EFO_0003096,1
http://www.ebi.ac.uk/efo/EFO_0003868,1
http://www.ebi.ac.uk/efo/EFO_0004194,1
http://www.ebi.ac.uk/efo/EFO_0004210,1
http://www.ebi.ac.uk/efo/EFO_0004799,1
http://www.ebi.ac.uk/efo/EFO_0004800,1
http://www.ebi.ac.uk/efo/EFO_0004803,1
http://www.ebi.ac.uk/efo/EFO_0004807,1
http://www.ebi.ac.uk/efo/EFO_0004282,1
http://www.ebi.ac.uk/efo/EFO_0004994,1
http://www.ebi.ac.uk/efo/EFO_0005058,1
http://www.ebi.ac.uk/efo/EFO_0005080,1
http://www.orpha.net/ORDO/Orphanet_70589,1
http://www.orpha.net/ORDO/Orphanet_139039,1
http://www.orpha.net/ORDO/Orphanet_524,1
http://www.ebi.ac.uk/efo/EFO_0004839,1
http://www.ebi.ac.uk/efo/EFO_0004843,1
http://www.ebi.ac.uk/efo/EFO_0004861,1
http://www.ebi.ac.uk/efo/EFO_0004567,1
http://purl.obolibrary.org/obo/HP_0012042,1
http://www.ebi.ac.uk/efo/EFO_0004608,1
http://www.ebi.ac.uk/efo/EFO_0004609,1
http://www.ebi.ac.uk/efo/EFO_0004698,1
http://www.orpha.net/ORDO/Orphanet_388,1
http://www.ebi.ac.uk/efo/EFO_0004815,1
http://www.ebi.ac.uk/efo/EFO_0004885,1
http://www.ebi.ac.uk/efo/EFO_0004893,1
http://www.ebi.ac.uk/efo/EFO_0004522,1
http://www.ebi.ac.uk/efo/EFO_0004710,1
http://www.ebi.ac.uk/efo/EFO_0000339,1
http://www.ebi.ac.uk/efo/EFO_0000407,1
http://www.ebi.ac.uk/efo/EFO_0000702,1
http://www.orpha.net/ORDO/Orphanet_30391,1
http://www.ebi.ac.uk/efo/EFO_0004886,1
http://www.ebi.ac.uk/efo/EFO_0004699,1
http://purl.obolibrary.org/obo/GO_0036274,1
http://www.ebi.ac.uk/efo/EFO_0000409,1
http://www.ebi.ac.uk/efo/EFO_0007593,1
http://www.ebi.ac.uk/efo/EFO_0004992,1
http://www.ebi.ac.uk/efo/EFO_0004294,1
http://www.ebi.ac.uk/efo/EFO_0005845,1
http://www.ebi.ac.uk/efo/EFO_0004358,1
http://www.ebi.ac.uk/efo/EFO_0004506,1
http://www.ebi.ac.uk/efo/EFO_0004595,1
http://www.ebi.ac.uk/efo/EFO_0004621,1
http://www.ebi.ac.uk/efo/EFO_0004644,1
